"variant","driver_id","ride_pre","ride"
"control","cf7f6389-95e8-44b1-88d9-71a784d0eea3",127,132
"control","6b129f09-fb5f-42df-bde3-a0daf9476c31",96,107
"test","f5ce5d40-a918-482f-bd4a-27ade2af0d97",102,103
"control","82592e1a-b6b7-42bf-a625-1fc138f92d3e",70,58
"control","549b14a8-fc08-4224-bf8e-931a7a50e6ff",114,103
"control","9d82a2d2-c6cc-45e2-95ca-7fa3cd717575",104,108
"test","e88423be-db1b-4b85-83a3-8eb6676724eb",58,53
"test","f6696e27-b8f5-444e-980b-017786ff0f7e",60,87
"control","9e0695ce-d4e2-44f1-b37f-04c58bbf491a",62,77
"test","1d7cdf5a-9c3d-46ee-a508-aa2b0cb5e2df",156,152
"control","b8601f41-47fb-4154-b02c-355cdf207fad",123,124
"control","ca3848c7-2300-40bb-8bfd-04df1fea1ff5",159,137
"test","acab8c5d-de12-4d1e-8036-051a93b7f5fc",113,113
"test","cac0c805-8d3e-422b-865e-bb91f0debb00",152,166
"control","3c450648-6887-4d24-b105-322a419c221d",111,138
"test","360d0b02-6d77-40ff-a441-1bc42f0aed11",91,91
"control","1cb43853-cff4-4a22-bb32-6bc387696f11",101,108
"test","44cb7cb4-7274-4af9-ab83-0523472cfa31",119,129
"test","d4c2b19c-1ebd-4e03-8f87-f5874d5e4256",82,90
"control","0503b5e0-3dc8-4367-b9f4-a42441754540",63,40
"control","f5c170b2-9027-4ec4-b044-8a12c8f4088b",147,122
"control","a8c7e4d4-64f9-41d3-b7d2-bf10b5e0734a",133,124
"test","45dfcda5-9709-4a1f-a7c3-eaa0345158e2",98,91
"control","43ad32d3-4ae7-42e5-a2c4-222a8ec46304",91,118
"control","096d328b-4623-4500-80c1-60becda704e1",115,113
"control","68247761-ca85-4318-8536-58d026726e1d",144,140
"control","5cf6a73f-d680-46f4-a088-dfcb38a91746",71,79
"control","85133f88-4128-47ab-aad1-3cd618b341b7",145,157
"test","ffd1037c-43a8-4cad-8db4-5534f122fb45",81,74
"control","ec09f5c7-c5bf-400b-b85f-9674f50d1f62",93,107
"test","402c3110-d573-481f-833a-c3ed50aa28f9",125,125
"test","376256ae-478b-489c-89a1-252223ba1e52",58,70
"control","ce945bbb-f42a-4043-a2f9-b963a6aaa7fb",130,131
"test","a26a3138-d20f-4f32-9fb4-3eae19b68727",76,71
"control","5a4f8c54-ce96-4aab-ba98-ed5b2612f6b5",141,146
"control","eaa31f3e-4c7d-4fcd-8815-761c4750380e",53,56
"control","70e37f43-3821-498f-a7da-d63969cc0c87",42,58
"test","c3bb3422-1c12-4ca4-a31a-a18424a10902",97,106
"test","fd288fad-6230-4b4e-afd1-e459da9851e1",112,106
"control","391c2fff-b7c9-42dd-a06f-c7ff4da25716",NA,90
"test","b0645cd2-d331-46f7-9a13-c6469bfea3d1",70,70
"control","96aec2ec-8d51-4eeb-930d-180485f8f3b5",83,103
"control","05a528b9-f0d4-49d3-b98c-c25bc344933c",95,93
"control","5fedb1ac-7100-490f-a859-3f44dd5fae5a",137,138
"control","2d6ecbd1-dc95-427d-8864-06d6817b02f6",101,86
"test","bea23699-7833-442b-a343-5f28bab82167",143,155
"test","c6550875-4a68-4df2-8225-83386f3ab137",129,133
"test","bea2281d-20ae-4520-8d0c-79705d8ac938",91,91
"control","de8619f4-726c-4cd6-9fdb-0afab51bb775",88,57
"control","56e1506e-77c1-4436-8f59-9e27a332728f",84,67
"test","3b0a1849-c5d6-4176-b87d-87c23cb16bd5",82,74
"test","672fb4a4-11d4-4c13-86b4-69ebef0adcf7",82,88
"test","9b247e4e-6642-4cf7-986f-ca86675e130a",98,107
"control","dc7377ed-bd95-48d8-8215-fb2ec0b68dbb",123,107
"control","610a9ebc-6944-491c-bd1f-e5ef8ececdc6",132,136
"control","934833b0-570c-4dc0-aca7-379ca577161e",157,129
"test","24e2aae7-238e-4a8d-84bf-14d89b7e4a3d",66,37
"test","ad375f05-d7d9-4165-8f03-6e783c5e6451",63,59
"control","9556c8aa-85dc-4d99-bfb8-c8d39e455f38",59,33
"control","cc75525b-5147-4dfa-a81c-e016a744d32b",122,128
"control","b29bdb92-675d-4d6c-adc1-cb2593a4b91d",106,126
"control","a1e94cb9-7745-46d5-ab1a-6919864a5eb6",88,84
"control","a0dbb778-a526-4b23-a664-0a7f3019c664",107,103
"control","a057d764-89f4-42c9-9330-e202934316a6",152,154
"control","783c5f1d-b57a-43c8-8a44-81bba6c8624a",106,122
"control","d33cfb3e-dc3e-4384-afac-6f19b74d3039",113,159
"control","8b90310b-0209-4f28-8226-818c973b6238",68,64
